Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
53,Female,72.7,1.59,171,116,61,1.66,1050,Strength,26.6,3.49,3,1,28.71
52,Female,86.5,1.57,174,140,79,1.15,1131,HIIT,28.1,4.51,5,1,35.12
36,Male,92.1,1.83,176,126,55,1.1,1115,HIIT,17.7,4.05,5,2,27.45
37,Male,79.9,1.77,178,117,67,1.8,939,Strength,5.0,4.28,4,3,25.6
35,Male,107.3,1.89,180,117,68,1.56,1065,Cardio,20.6,4.26,4,1,30.09
58,Male,69.2,1.74,172,110,77,1.71,710,Strength,,4.23,2,1,22.85
31,Female,63.6,1.68,176,99,65,1.37,536,Strength,26.1,3.45,2,1,22.51
32,Male,77.6,1.7,186,117,87,1.55,713,Strength,17.0,3.52,2,1,26.81
48,Female,63.6,1.72,175,127,69,1.21,883,Cardio,19.6,4.08,5,2,21.51
18,Male,63.0,1.79,193,119,74,1.51,727,Strength,23.7,3.51,4,1,19.73
20,Female,42.8,1.56,193,118,62,1.56,1136,Cardio,19.4,2.55,4,2,17.67
33,Female,70.8,1.56,182,126,62,1.64,1499,HIIT,19.9,3.79,4,3,29.27
40,Male,69.1,1.8,183,126,66,0.76,606,Cardio,21.4,3.66,4,2,21.25
28,Female,91.7,1.56,185,142,82,1.01,927,Cardio,24.7,4.2,2,1,37.51
29,Male,77.0,1.68,190,128,73,1.13,803,Cardio,15.7,3.46,2,1,27.27
27,Male,74.5,1.67,188,119,70,1.49,891,Strength,15.7,3.49,5,2,26.6
49,Male,93.3,1.83,177,110,74,1.99,850,Yoga,22.2,4.01,2,1,27.93
33,Male,83.6,1.79,183,121,75,1.45,612,Yoga,26.7,4.03,4,1,26.17
25,Male,75.5,1.6,195,91,59,1.02,451,Strength,12.3,3.68,3,2,29.45
55,Female,56.0,1.66,175,109,79,1.13,351,Yoga,20.7,3.58,6,2,20.36
29,Female,116.2,1.56,178,117,62,1.79,1195,Strength,23.6,4.84,2,2,47.88
41,Female,70.1,1.63,177,115,71,0.97,508,Yoga,28.7,3.41,2,1,26.46
45,Male,93.2,1.78,176,130,72,1.81,1325,Cardio,10.6,4.34,4,3,29.51
25,Female,50.7,1.64,187,130,83,1.19,531,Strength,30.9,3.29,2,1,18.86
45,Male,69.9,1.8,179,156,76,1.09,1136,HIIT,14.9,3.5,2,1,21.57
53,Male,107.6,1.66,168,130,64,1.12,1094,HIIT,7.5,4.7,2,2,39.19
43,Female,84.6,1.71,178,103,68,0.25,307,Yoga,27.7,3.47,3,2,28.9
25,Male,84.4,1.83,186,130,64,1.64,1258,Cardio,17.7,4.22,4,3,25.25
45,Female,59.7,1.52,184,127,68,0.93,668,Cardio,,3.23,4,2,25.9
45,Female,61.7,1.54,172,129,56,0.95,910,HIIT,12.5,2.93,4,3,25.86
54,Male,68.5,1.72,173,134,71,1.54,1206,Cardio,11.2,3.79,5,3,23.09
58,Male,61.8,1.62,167,120,68,1.66,1124,Cardio,15.7,3.47,3,2,23.47
53,Male,90.9,1.69,185,132,63,0.71,749,Cardio,25.8,3.88,4,2,31.86
44,Female,72.5,1.65,186,92,64,1.65,718,Strength,24.2,3.86,4,2,26.8
34,Male,88.3,1.69,173,104,65,1.13,691,Cardio,7.8,4.61,4,3,30.77
26,Male,73.3,1.75,182,102,59,1.53,771,Strength,18.5,3.38,4,2,23.8
50,Male,81.6,1.72,180,121,76,1.35,705,Strength,26.0,2.7,2,1,27.49
37,Female,59.0,1.58,184,136,68,1.23,1153,HIIT,30.5,3.52,2,2,23.62
30,Male,67.8,1.85,188,129,80,1.16,714,Cardio,22.3,3.3,3,1,19.9
45,Male,101.3,1.72,179,119,71,1.01,632,Strength,20.8,4.2,2,1,34.36
46,Female,66.7,1.53,183,110,64,1.24,621,Strength,16.2,3.08,3,1,28.48
30,Female,72.1,1.66,190,111,60,1.39,672,Yoga,25.1,4.54,4,2,26.14
52,Male,89.7,1.8,172,103,61,1.13,623,Strength,15.4,3.82,4,3,27.79
23,Male,79.9,1.8,181,121,69,0.67,773,HIIT,18.7,3.22,2,1,24.54
35,Male,81.4,1.78,172,132,68,1.5,1219,Cardio,23.0,4.78,4,1,25.61
22,Female,49.8,1.74,188,131,72,1.22,991,HIIT,26.6,3.56,2,1,16.52
42,Male,65.5,1.74,168,110,63,1.6,809,Strength,15.2,4.32,4,2,21.74
19,Female,51.7,1.66,192,123,73,0.92,794,Cardio,32.7,3.02,2,1,18.7
27,Female,73.5,1.65,185,139,68,0.86,853,HIIT,25.4,3.5,2,1,26.97
47,Female,66.0,1.66,188,99,75,0.8,273,Yoga,,3.06,3,1,24.05
22,Male,65.5,1.89,191,98,65,1.24,651,Cardio,21.5,3.27,4,2,18.25
50,Female,73.1,1.74,175,143,78,1.23,1030,Cardio,22.4,3.86,2,1,24.11
18,Female,72.6,1.6,181,128,71,1.11,766,Cardio,19.4,3.47,3,2,28.44
35,Female,55.3,1.52,175,116,72,1.7,673,Yoga,34.3,4.51,3,1,23.82
49,Male,77.6,1.61,180,131,66,1.08,968,Cardio,14.0,4.04,4,2,29.91
28,Female,72.7,1.68,184,110,62,1.24,834,Cardio,31.0,4.45,3,1,25.65
38,Male,66.0,1.87,196,130,75,0.99,774,Cardio,8.1,2.52,4,2,18.78
43,Male,85.9,1.79,178,106,67,0.91,599,Yoga,7.0,4.52,2,1,26.68
42,Male,82.2,1.81,180,132,68,1.27,1187,HIIT,18.8,2.95,6,2,24.96
39,Female,51.0,1.65,173,128,65,1.16,1043,HIIT,21.9,2.71,6,3,18.84
44,Male,81.1,1.63,184,115,62,1.48,877,Cardio,16.4,3.31,5,3,30.63
30,Male,83.1,1.81,179,149,75,1.45,1594,HIIT,26.4,4.13,2,2,25.47
50,Male,69.2,1.82,178,93,60,1.68,572,Yoga,10.8,3.89,4,2,20.8
51,Male,70.3,1.82,179,143,73,1.07,1013,HIIT,14.7,3.87,4,3,21.22
58,Female,50.9,1.64,172,122,71,1.36,741,Strength,32.4,3.3,3,2,18.92
52,Female,58.7,1.64,185,110,70,1.13,594,Strength,22.0,3.84,2,1,21.74
18,Male,77.8,1.95,187,129,62,0.8,893,HIIT,11.6,3.16,4,3,20.57
38,Male,70.4,1.79,191,101,58,0.75,507,Cardio,10.7,3.86,3,1,22.0
23,Female,44.2,1.6,181,117,66,1.32,754,Strength,38.7,3.16,4,1,17.29
45,Male,68.4,1.74,182,141,69,0.68,737,HIIT,8.5,4.22,3,1,22.67
34,Male,72.2,1.76,182,146,72,1.12,1194,HIIT,23.5,3.96,5,1,23.24
22,Female,76.4,1.69,185,132,75,0.56,583,HIIT,18.4,3.24,2,2,26.81
48,Female,73.3,1.61,166,114,83,1.11,447,Yoga,22.2,3.62,2,1,28.33
22,Male,89.7,1.82,187,130,73,0.43,462,Cardio,24.8,3.15,2,1,27.12
55,Female,54.7,1.73,171,123,72,0.94,662,Cardio,,3.3,4,1,18.16
20,Male,80.0,1.74,191,97,64,1.15,493,Strength,20.3,3.67,3,2,26.39
40,Female,40.0,1.58,184,101,57,1.34,644,Strength,31.9,3.39,4,2,16.02
54,Male,84.0,1.8,168,124,67,1.06,803,Cardio,20.5,3.28,3,1,25.98
54,Male,86.6,1.74,184,134,70,0.72,638,Cardio,23.9,3.53,2,1,28.71
27,Male,73.1,1.69,183,139,77,0.72,543,Strength,19.9,2.93,2,1,25.58
27,Female,69.1,1.76,190,132,66,0.89,858,HIIT,23.1,2.98,5,3,22.36
36,Female,43.8,1.53,183,138,68,1.37,1217,HIIT,21.8,3.44,3,2,18.71
34,Male,66.8,1.71,182,137,64,1.36,1370,HIIT,26.6,4.1,2,2,22.96
38,Male,88.7,1.68,181,108,59,1.38,1030,HIIT,23.2,3.17,2,1,31.34
31,Female,72.2,1.68,179,82,55,1.12,457,Yoga,27.6,4.36,3,2,25.46
26,Male,72.2,1.79,185,123,57,0.69,716,HIIT,20.9,3.92,4,2,22.44
18,Male,89.4,1.72,183,116,69,1.04,583,Yoga,16.1,3.37,2,1,30.16
30,Female,66.9,1.71,182,147,77,1.15,1235,HIIT,32.2,3.86,2,1,22.99
21,Male,70.9,1.68,187,145,77,0.74,749,HIIT,27.3,3.18,3,1,25.03
18,Female,62.4,1.58,196,131,68,1.08,947,HIIT,15.6,3.36,4,3,25.12
57,Female,58.6,1.74,170,111,60,1.61,960,Strength,25.2,3.88,5,3,19.4
49,Male,61.4,1.93,173,124,74,1.34,796,Cardio,17.3,3.72,3,2,16.5
51,Male,95.6,1.72,176,110,61,1.7,1188,Cardio,14.4,4.2,5,2,32.42
45,Male,70.0,1.56,179,125,76,1.75,1057,Cardio,14.0,3.72,2,1,28.93
48,Female,53.3,1.54,172,123,57,0.77,614,Cardio,30.3,2.82,4,2,22.37
25,Female,43.6,1.68,190,108,60,1.15,740,Cardio,,3.52,5,2,15.49
56,Female,40.0,1.66,171,126,81,1.19,568,Strength,26.5,2.27,3,1,14.54
43,Male,87.8,1.77,175,114,62,1.58,1071,Strength,17.2,4.14,5,3,27.94
51,Female,76.1,1.62,172,95,67,1.51,496,Yoga,26.9,4.56,2,1,28.93
20,Female,81.7,1.61,196,135,78,1.41,1049,Cardio,24.0,4.26,3,1,31.54
29,Female,62.9,1.69,183,111,74,1.7,570,Yoga,25.6,4.2,4,2,21.93
18,Female,60.5,1.62,193,94,64,1.32,425,Yoga,24.9,3.44,4,2,23.05
22,Female,57.9,1.63,181,115,69,1.08,577,Strength,16.1,2.84,4,2,21.91
47,Female,59.2,1.67,183,129,72,1.83,1466,HIIT,24.4,3.8,2,1,21.29
47,Female,80.7,1.64,173,112,46,1.5,1254,Cardio,16.2,3.74,5,3,29.83
34,Male,77.6,1.78,185,116,59,1.22,963,Cardio,8.7,4.68,4,2,24.46
40,Male,83.3,1.8,178,113,73,0.92,546,Strength,19.3,3.65,2,2,25.7
32,Female,58.8,1.65,186,114,58,1.51,1006,Cardio,19.2,3.84,6,3,21.58
54,Male,96.5,1.8,176,119,70,1.65,993,Strength,22.2,5.0,2,2,29.92
38,Female,40.0,1.56,180,103,73,0.97,458,Strength,18.4,2.44,3,1,16.35
31,Female,47.9,1.6,173,140,74,1.25,919,Cardio,23.5,2.3,5,2,18.76
19,Female,70.3,1.63,197,110,63,1.24,810,Cardio,24.4,3.85,2,1,26.34
28,Male,102.5,1.7,185,138,73,1.32,1120,Strength,11.6,4.61,2,1,35.35
56,Male,74.8,1.72,174,112,71,1.06,448,Yoga,19.5,3.47,2,1,25.23
55,Male,66.2,1.91,177,97,58,1.31,682,Strength,7.0,3.15,4,3,18.2
51,Female,79.0,1.65,172,118,66,0.97,780,Cardio,28.6,3.79,4,1,29.03
55,Female,69.5,1.57,176,130,68,0.91,686,Cardio,28.6,3.43,2,2,28.26
51,Female,83.1,1.55,170,128,75,0.88,762,Cardio,28.8,3.82,2,1,34.49
35,Male,59.9,1.73,185,131,67,1.02,796,Cardio,19.0,2.86,5,2,20.14
47,Female,82.0,1.58,177,130,68,0.76,786,HIIT,30.2,3.73,3,2,32.68
32,Female,43.3,1.55,181,118,64,1.65,1101,Cardio,24.9,3.68,3,2,18.04
44,Male,74.0,1.68,178,111,68,1.28,649,Yoga,15.4,3.14,3,1,26.33
51,Female,70.8,1.61,168,132,62,1.35,1207,HIIT,22.0,4.31,4,2,27.27
55,Male,80.6,1.66,174,108,60,1.91,1267,Cardio,11.6,4.36,4,3,29.13
50,Male,92.8,1.81,177,122,71,1.55,1031,Strength,11.8,4.63,4,2,28.24
41,Female,40.0,1.5,182,137,71,1.02,963,HIIT,28.9,2.4,2,2,17.78
32,Male,80.0,1.76,193,113,55,1.86,1503,HIIT,17.1,4.49,3,3,25.92
47,Female,81.8,1.68,176,103,66,1.49,676,Strength,19.2,3.37,2,1,28.89
59,Female,65.8,1.6,170,113,63,0.91,640,HIIT,20.9,2.98,4,2,25.64
34,Female,49.0,1.61,176,126,63,1.77,1349,HIIT,17.0,3.65,5,3,18.87
22,Male,92.1,1.67,198,109,61,0.99,698,Strength,21.1,3.83,2,1,32.86
46,Female,55.9,1.74,168,131,62,1.65,1555,HIIT,30.4,3.62,4,2,18.46
21,Female,53.5,1.52,191,118,63,1.03,640,Strength,29.7,3.96,3,1,23.13
27,Female,51.7,1.6,183,114,69,1.11,552,Strength,21.5,3.2,3,2,20.17
34,Male,75.2,1.72,183,131,67,1.15,1066,HIIT,15.4,3.98,2,2,25.32
27,Male,80.6,1.71,179,127,68,0.81,730,HIIT,12.5,3.57,3,1,27.4
34,Female,47.2,1.62,188,110,61,0.78,464,Strength,18.4,2.87,5,2,18.0
37,Male,63.1,1.77,176,131,68,0.28,300,Cardio,23.7,2.54,3,1,20.18
41,Female,55.3,1.64,186,104,68,0.78,375,Yoga,34.7,3.22,2,1,20.53
22,Female,51.6,1.7,183,125,81,2.07,853,Yoga,23.9,4.79,2,1,17.88
51,Male,78.5,1.69,180,112,69,1.62,723,Yoga,14.7,4.08,6,3,27.34
23,Female,70.1,1.69,184,144,67,1.8,1816,HIIT,31.1,3.87,4,1,24.58
19,Female,68.1,1.56,187,130,64,1.34,1280,HIIT,14.2,4.12,5,3,28.16
30,Female,68.2,1.71,185,117,73,1.14,624,Strength,19.8,3.96,5,2,23.21
28,Female,88.4,1.58,181,127,67,1.75,1376,Cardio,37.5,4.49,3,1,35.43
40,Female,70.9,1.58,175,103,58,1.43,720,Strength,20.2,3.65,3,2,28.29
33,Male,89.0,1.68,178,96,56,0.97,468,Yoga,15.2,4.32,4,2,31.37
48,Male,72.2,1.8,178,105,75,1.52,446,Yoga,14.0,3.9,3,2,22.28
28,Female,78.2,1.55,186,111,70,1.59,756,Strength,17.5,4.38,2,1,32.35
33,Male,71.5,1.89,184,131,73,0.65,578,Strength,19.9,2.99,3,1,19.99
25,Male,83.8,1.9,186,115,68,1.31,801,Cardio,19.4,3.73,3,1,23.28
21,Male,58.8,1.8,193,126,63,0.67,450,Cardio,20.4,3.12,2,1,18.2
57,Female,67.3,1.73,178,118,65,1.57,894,Strength,27.1,3.29,2,1,22.39
21,Female,51.3,1.61,193,119,63,1.23,778,Cardio,25.2,3.12,2,1,19.73
42,Female,78.1,1.5,178,109,76,1.37,573,Strength,24.9,3.37,2,1,34.71
20,Female,77.3,1.53,183,140,80,1.07,899,Strength,25.0,3.07,3,1,32.82
49,Female,58.5,1.56,164,112,71,0.53,289,Strength,22.6,3.96,3,1,23.95
20,Male,106.7,1.63,190,125,62,1.0,963,Cardio,15.3,3.99,4,1,40.36
44,Female,61.0,1.62,166,125,66,1.78,1395,HIIT,17.6,3.58,5,3,23.17
46,Male,55.4,1.71,176,121,79,1.85,862,Strength,22.4,3.75,2,1,18.91
49,Female,54.1,1.64,184,113,73,1.4,504,Yoga,26.5,3.0,2,2,20.04
36,Female,50.4,1.56,175,110,71,0.91,449,Yoga,27.6,2.85,3,1,20.81
38,Male,83.3,1.8,173,108,62,1.64,1022,Cardio,24.2,4.88,3,3,25.85
22,Male,60.7,1.76,193,130,71,1.44,946,Strength,14.9,3.72,2,1,19.55
35,Male,70.5,1.8,166,133,70,1.5,1304,HIIT,20.1,4.2,4,3,21.72
45,Male,82.4,1.69,180,138,72,1.32,1316,HIIT,15.7,4.57,3,2,28.73
59,Male,79.9,1.75,179,132,69,1.22,1146,HIIT,20.3,3.92,2,1,26.21
39,Female,64.8,1.59,175,87,61,1.47,457,Yoga,25.9,3.59,4,3,25.63
38,Female,66.8,1.59,175,125,64,1.4,1098,Cardio,22.6,3.1,5,2,26.43
23,Female,59.8,1.61,192,122,65,1.79,1110,Cardio,22.2,3.62,4,1,22.95
18,Female,42.5,1.67,184,117,75,0.59,341,Strength,20.5,2.64,5,2,15.17
22,Female,59.4,1.59,194,114,58,1.37,837,Strength,12.0,3.19,5,3,23.39
58,Female,71.6,1.62,164,125,70,0.97,807,Cardio,28.0,4.13,4,2,27.21
29,Male,76.1,1.7,196,133,67,1.56,1371,HIIT,22.4,4.4,4,1,26.44
43,Female,70.5,1.57,182,126,64,1.25,888,Strength,32.9,4.05,2,2,28.72
51,Male,69.8,1.81,175,101,66,1.5,764,Strength,19.1,3.75,4,2,21.27
31,Female,78.9,1.62,195,118,66,1.95,1400,HIIT,25.8,3.84,6,3,30.11
43,Female,40.0,1.63,185,119,65,0.92,610,HIIT,24.6,3.38,3,2,15.09
44,Female,67.0,1.66,180,115,64,0.97,744,Strength,29.8,3.56,4,1,24.3
26,Male,96.9,1.75,176,125,63,1.91,1606,HIIT,19.9,4.89,6,3,31.57
43,Female,86.0,1.55,174,129,66,0.76,721,HIIT,28.4,3.92,3,1,35.64
39,Female,61.8,1.57,187,120,80,0.98,448,Strength,24.9,3.45,3,1,24.95
47,Male,59.4,1.79,169,133,65,0.74,718,Cardio,15.9,3.93,2,2,18.52
34,Male,97.1,1.74,178,134,63,1.78,1641,Cardio,20.8,4.25,5,2,32.16
43,Female,64.3,1.62,172,138,83,0.95,738,Strength,25.0,3.23,2,1,24.44
53,Male,75.8,1.77,176,107,71,1.42,652,Strength,21.4,4.52,4,2,24.08
18,Female,52.5,1.63,197,127,66,1.39,1079,HIIT,37.0,3.42,3,1,19.66
25,Male,60.5,1.76,193,138,66,0.87,861,HIIT,24.0,3.18,2,1,19.46
52,Male,85.9,1.72,169,131,66,0.78,819,HIIT,18.2,3.58,5,3,29.06
32,Female,74.4,1.66,186,143,71,1.07,1100,HIIT,29.2,3.9,5,1,27.03
39,Male,80.8,1.77,175,151,76,1.07,1234,HIIT,15.6,3.67,2,1,25.92
31,Female,54.3,1.55,183,130,67,1.13,699,Strength,23.2,3.13,2,1,22.53
43,Male,63.1,1.75,182,117,67,1.43,838,Cardio,10.1,3.88,3,3,20.63
45,Male,57.9,1.74,184,94,58,0.98,378,Yoga,22.3,3.28,2,1,19.1
40,Female,57.2,1.58,167,114,70,0.96,546,Strength,25.6,2.82,2,1,22.86
31,Female,50.9,1.56,185,95,63,1.4,505,Strength,24.9,3.37,4,2,21.05
41,Female,41.1,1.6,188,105,64,1.01,366,Yoga,27.1,3.49,4,2,15.96
19,Female,74.1,1.61,192,140,70,1.12,1187,HIIT,23.3,3.96,3,1,28.42
43,Female,46.5,1.64,179,118,74,1.1,581,Strength,22.5,3.7,3,2,17.3
31,Male,91.8,1.76,181,116,64,1.25,942,HIIT,21.1,3.79,2,1,29.67
24,Male,83.5,1.78,196,102,50,1.84,1178,Cardio,13.0,4.7,5,3,26.27
20,Female,69.1,1.56,187,106,65,1.55,657,Yoga,26.5,3.55,2,1,28.33
40,Female,88.3,1.71,179,143,77,1.6,1249,Cardio,22.3,3.73,2,1,30.03
35,Female,47.0,1.54,180,120,61,1.03,870,HIIT,26.6,2.74,2,1,19.76
55,Male,90.2,1.63,173,132,68,1.06,914,Cardio,27.8,3.99,2,1,34.15
52,Male,73.8,1.75,183,112,72,0.86,451,Yoga,14.8,3.9,4,2,24.24
32,Female,101.0,1.62,179,129,71,1.03,884,Cardio,21.8,4.26,4,1,38.41
42,Female,59.7,1.75,180,123,78,1.04,571,Cardio,32.3,3.26,5,1,19.4
54,Female,57.4,1.67,175,93,55,1.08,476,Strength,27.6,2.88,4,2,20.71
45,Female,71.0,1.76,173,106,65,1.08,664,Strength,26.1,3.85,4,2,22.93
27,Female,62.1,1.58,186,131,79,0.56,602,Cardio,20.9,3.46,2,1,24.73
56,Male,67.4,1.69,183,126,64,0.68,444,Strength,13.6,3.37,2,1,23.62
34,Male,64.4,1.77,172,107,77,1.17,474,Yoga,11.8,3.07,4,1,20.45
56,Male,98.4,1.75,169,111,70,1.18,608,Yoga,21.7,4.5,2,1,32.22
39,Male,61.7,1.93,182,125,74,1.32,983,Cardio,24.6,4.02,3,1,16.53
43,Female,68.1,1.65,176,114,75,1.21,473,Yoga,27.3,4.2,5,2,24.9
42,Male,92.8,1.74,196,120,66,1.45,1104,Cardio,24.2,4.05,4,3,30.61
34,Female,80.5,1.51,186,116,67,1.59,886,Strength,25.3,4.24,4,1,35.36
30,Male,69.6,1.76,179,132,74,1.13,936,Cardio,17.9,3.36,3,1,22.47
37,Male,75.1,1.82,167,113,67,0.93,713,Strength,20.0,3.19,3,1,22.78
42,Male,72.4,1.74,181,131,73,0.73,636,Cardio,18.4,4.02,2,1,23.82
21,Male,56.5,1.71,185,138,63,1.43,1347,HIIT,22.0,3.71,3,1,19.34
27,Female,72.5,1.71,194,105,63,0.85,588,Strength,19.3,3.98,4,3,24.93
20,Male,78.5,1.79,188,138,74,1.01,906,Cardio,10.0,3.19,4,2,24.44
58,Female,85.2,1.54,168,114,61,1.6,1122,Cardio,13.6,4.28,4,3,35.94
35,Male,66.5,1.86,179,132,70,0.78,835,HIIT,16.9,3.5,5,3,19.24
53,Male,93.2,1.67,179,127,86,1.08,480,Yoga,14.4,3.68,3,2,33.42
39,Male,94.2,1.79,183,99,67,1.35,500,Yoga,11.2,4.79,6,2,29.34
51,Female,65.7,1.65,185,143,75,1.02,1023,HIIT,24.4,3.33,2,1,24.08
25,Female,40.0,1.57,186,137,70,0.96,819,HIIT,34.8,3.06,3,2,16.15
57,Male,70.8,1.78,177,82,64,1.24,317,Yoga,8.9,3.44,5,3,22.3
36,Male,103.0,1.78,187,134,76,1.44,1207,Cardio,23.1,3.95,4,1,32.41
59,Female,69.2,1.64,175,115,62,2.09,1514,HIIT,24.6,4.5,6,3,25.71
58,Male,87.7,1.67,168,111,67,1.2,700,Cardio,,4.13,3,1,31.62
54,Male,76.8,1.69,176,92,54,0.75,419,Yoga,13.9,3.58,5,3,26.87
23,Female,61.9,1.78,188,100,61,1.65,688,Yoga,14.7,3.62,5,3,19.62
43,Female,40.0,1.65,178,147,72,1.16,1143,HIIT,30.0,3.14,2,2,14.74
51,Male,89.1,1.77,170,100,61,0.92,599,Strength,15.8,4.34,5,2,28.31
23,Female,80.1,1.72,176,97,68,1.02,380,Yoga,31.4,3.44,2,2,27.18
54,Female,51.7,1.58,180,131,62,1.18,1112,HIIT,26.6,3.47,3,3,20.68
50,Male,75.5,1.79,178,124,59,0.96,746,Cardio,19.5,3.67,5,3,23.46
39,Female,60.6,1.64,172,106,56,1.28,767,Strength,36.8,3.41,3,2,22.59
38,Female,70.9,1.51,185,103,75,1.94,586,Yoga,26.4,3.42,4,2,31.0
23,Male,70.4,1.71,196,147,70,0.92,940,HIIT,,3.45,4,2,24.05
23,Male,91.0,1.79,193,132,79,2.08,1471,Cardio,12.5,4.84,5,3,28.49
21,Male,79.0,1.86,184,126,73,1.37,991,Cardio,19.7,4.03,2,2,22.81
47,Female,40.0,1.79,172,115,71,1.42,711,Cardio,20.0,2.58,5,3,12.54
28,Male,84.2,1.68,183,118,57,1.19,1008,Cardio,19.4,4.4,3,2,29.75
47,Female,78.9,1.63,182,132,60,0.87,882,HIIT,29.4,4.26,3,1,29.86
48,Female,48.9,1.6,179,100,71,1.25,330,Yoga,17.2,3.18,2,1,19.01
41,Male,83.7,1.73,196,113,64,1.33,615,Yoga,16.4,4.9,3,1,27.89
26,Female,90.6,1.6,177,110,67,0.3,282,Strength,28.7,3.16,2,1,35.29
20,Male,79.6,1.8,190,156,86,2.04,1921,HIIT,8.2,3.81,3,1,24.58
48,Female,81.0,1.57,164,131,74,0.67,607,Cardio,24.5,3.12,4,2,32.82
57,Female,58.8,1.51,175,97,65,0.97,472,Strength,32.5,3.36,2,1,25.69
54,Male,77.7,1.69,179,109,57,0.25,150,Strength,26.0,2.49,2,1,27.17
53,Male,75.1,1.77,182,120,61,1.21,910,Cardio,13.1,3.6,4,2,24.0
41,Male,72.6,1.61,181,94,60,1.29,555,Strength,21.3,4.9,3,3,27.87
48,Male,75.9,1.72,165,125,65,1.12,799,Strength,23.0,3.09,5,2,25.78
23,Male,55.2,1.85,188,114,55,1.56,1101,Cardio,5.0,3.32,5,3,16.13
19,Male,73.4,1.6,193,139,74,1.21,1019,Cardio,17.6,3.28,3,2,28.78
37,Female,83.7,1.67,175,118,67,1.34,1026,HIIT,28.6,3.86,3,1,29.86
45,Male,64.5,1.73,176,123,71,0.87,607,Cardio,24.6,3.17,4,2,21.6
28,Male,63.1,1.79,178,141,67,1.33,1302,HIIT,18.4,3.29,4,2,19.71
21,Female,65.9,1.62,186,119,77,0.93,570,Cardio,34.5,3.31,3,1,25.08
32,Male,79.6,1.79,189,132,70,1.02,980,HIIT,15.6,3.96,2,1,24.96
23,Female,70.3,1.68,193,129,61,1.39,1303,HIIT,17.0,4.29,4,2,24.97
47,Female,63.4,1.63,168,117,67,0.97,687,HIIT,24.3,3.24,2,1,23.98
55,Female,66.0,1.71,168,117,63,1.26,923,HIIT,32.9,3.58,4,2,22.54
19,Male,73.1,1.79,191,149,83,0.75,731,Cardio,24.1,3.6,2,1,22.83
32,Male,60.1,1.89,185,115,67,1.68,924,Strength,28.6,3.22,2,2,16.9
28,Male,77.0,1.6,182,124,67,1.55,1054,Strength,9.8,3.91,4,2,29.93
25,Female,75.1,1.55,190,132,76,1.18,849,Cardio,32.7,3.51,2,1,31.34
43,Male,85.2,1.74,178,146,71,1.07,939,Cardio,23.3,4.23,2,1,28.29
22,Male,53.6,1.76,174,143,74,1.26,1189,HIIT,15.6,4.03,2,2,17.22
23,Female,68.5,1.58,185,119,61,1.83,1086,Strength,26.4,3.66,4,3,27.4
43,Male,65.5,1.74,175,93,60,1.68,553,Yoga,15.2,4.33,6,3,21.69
21,Male,97.5,1.72,194,128,61,1.68,1589,HIIT,,3.87,4,2,32.77
36,Male,82.6,1.84,186,118,78,1.18,576,Yoga,20.4,3.94,3,2,24.43
37,Female,77.5,1.61,171,112,71,1.32,633,Yoga,32.4,3.95,4,1,29.79
50,Male,78.3,1.79,178,129,64,1.57,1478,HIIT,19.9,3.41,3,1,24.35
37,Female,64.1,1.61,181,127,72,0.83,716,Cardio,36.4,2.95,4,1,24.76
29,Female,85.9,1.66,186,115,63,0.95,667,Strength,23.9,3.42,4,2,31.18
18,Male,91.6,1.7,187,138,69,1.25,1152,HIIT,28.9,3.56,3,1,31.8
43,Female,66.7,1.74,178,130,73,0.72,617,HIIT,21.9,2.2,3,1,22.09
31,Male,75.2,1.81,191,143,76,0.66,798,HIIT,12.1,3.32,3,2,22.96
55,Male,54.1,1.62,173,119,68,1.71,931,Strength,12.4,3.57,2,2,20.61
54,Female,69.5,1.69,173,124,67,1.62,1401,HIIT,32.3,3.83,2,1,24.22
28,Female,63.2,1.79,183,130,68,0.74,615,Cardio,23.5,3.51,4,1,19.72
53,Female,72.8,1.62,180,133,75,0.65,715,Cardio,35.0,2.57,2,1,27.69
30,Male,90.0,1.68,177,126,59,0.92,781,Strength,16.9,3.7,2,1,32.06
20,Male,95.3,1.74,185,109,61,1.74,967,Strength,19.0,5.0,2,2,31.42
50,Male,82.7,1.83,167,136,72,1.01,840,Cardio,22.7,4.12,2,1,24.63
23,Male,63.4,1.7,190,109,57,1.33,822,Strength,11.9,3.92,3,2,21.98
27,Male,47.9,1.85,194,131,61,1.56,1176,Cardio,7.5,2.99,5,3,14.04
22,Male,66.5,1.76,187,108,68,1.21,570,Strength,20.9,3.48,2,1,21.57
40,Male,96.7,1.85,174,129,68,1.97,1666,HIIT,13.1,3.7,4,3,28.1
27,Male,103.5,1.7,196,97,69,0.9,303,Yoga,22.0,4.34,3,1,35.75
19,Male,74.7,1.75,193,132,78,1.11,807,Cardio,12.8,4.22,3,1,24.49
30,Male,57.5,1.78,187,110,71,1.23,680,Strength,17.7,2.81,3,1,18.17
57,Female,55.9,1.52,170,105,82,1.13,351,Yoga,26.6,2.83,4,1,24.25
19,Male,93.9,1.83,195,94,63,0.72,397,Strength,7.3,3.8,2,1,28.16
